text,hoax
Pakar: Penggunaan Cairan Hand Sanitizer Jangan Berlebihan,0
Warga MB Ketapang Kotawaringin Timur Sudah Diperbolehkan Shalat Jumat dan Tarawih di Masjid,1
Data Vaksinasi COVID-19 (Update per 27 April 2021),0
Ka.Camat se DKI Jakarta menghimbau untuk menunda setiap rencana kegiatan yg mengumpulnya massa,1
Kawasan Johor Baru Malaysia Terdampak Ekonomi Pandemi Covid-19,1
Percepat Pelaksanaan Vaksinasi COVID-19 Agar Kekebalan Kelompok Segera Tercapai,0
Pasien Sembuh COVID-19 Terus Bertambah Menjadi 536.260 Orang,0
Data Vaksinasi COVID-19 (Update per 23 Mei 2021),0
Vaksin dan 3M Paket Lengkap Proteksi Kesehatan Masyarakat,0
Vaksin Paling Efektif Cegah Penyakit Menular,0
Indonesia Menerima Bantuan Australia 100 Ventilator Noninvasif untuk Penanganan COVID-19,0
Satgas Ingatkan ASN Patuhi Surat Edaran Menpan-RB,0
Mari Gunakan Ruang Digital dengan Cerdas di Tengah Pandemik COVID–19,0
Pemda Diminta Evaluasi Menyeluruh Tekan Penularan Covid-19,0
Indonesia: Orang Tua dan Pengasuh Mengupayakan Imunisasi Rutin yang Aman untuk Anak-anak Mereka Selama COVID-19,0
Data Vaksinasi COVID-19 (Update per 14 Maret 2021),0
16 Juta Vaksin Bulk COVID-19 dari Sinovac Kembali Tiba di Indonesia,0
Infografis COVID-19 (10 Agustus 2020),0
"Mudik di Masa Pandemi, Risikonya Tinggi",0
"Vaksin COVID-19 Gratis Tanpa Syarat, Badan POM Kawal Keamanan dan Efektivitasnya",0
Prioritas Pemerintah Menangani Pandemi Ialah Menjaga Keselamatan Rakyat,0
Surat Tim Publikasi Dirgahayu HUT Ke 28 Tahun Kota Tangerang,1
"Atlet, Pelatih dan Tenaga Pendukung Cabang Olah Raga Mulai Menerima Vaksinasi COVID-19",0
Pasien Sembuh Terus Meningkat Mencapai 1.297.967 Orang,0
Apakah Vaksin COVID-19 Nanti Juga Tersedia Untuk Anak-Anak?,0
Analisis Data COVID-19 Indonesia (Update Per 21 Maret 2021),0
Gambar KORLAP: FPI Jika Gubernur butuh Bantuan KAMI KAMI akan kerahkan LASKAR Untuk mengusir & menangkap CORONA,1
"Lonjakan Kasus COVID-19 di Jateng, Begini Laporan Gubernur Kepada Ketua Satgas Ganip Warsito",0
Akun Facebook Wakil Bupati Probolinggo Meminta Sejumlah Dana,1
Satgas COVID-19: Jaga Ketersediaan Alat Material Kesehatan di Daerah,0
Analisis Data COVID-19 Indonesia (Update Per 24 Januari 2021),0
"Program PEN Sektor Infrastruktur Serap 1,2 Juta Tenaga Kerja Hingga Pelosok Desa",0
Sistem Pembelajaran Tatap Muka Bergantung Perkembangan Penanganan Covid-19 di Daerah,0
Video Italia Bergema Takbir Aamiin,1
Mobilitas Pelaku Perjalanan Diperketat Untuk Mencegah Penularan Selama Libur Panjang,0
Data Vaksinasi COVID-19 (Update per 29 Mei 2021),0
Memalsukan Hasil Tes Covid-19 Berujung Pidana 4 Tahun,0
Kesembuhan Covid-19 Terus Bertambah Menjadi 510.957 Orang,0
Upaya Kolektif Bersama Turunkan Risiko COVID-19 Tentukan Aktivitas Masyarakat,0
Mendikbud: Pembukaan Sekolah Tatap Muka Harus Keputusan Bersama,0
Kasus Aktif di Indonesia Masih Di Bawah Rata-Rata Dunia,0
"Karena Disuntik Vaksin, Dokter di Palembang Meninggal",1
Pemerintah Telah Siapkan Sistem Satu Data Vaksinasi COVID-19,0
Pemerintah Kawal Kesiapan Sarana Vaksin COVID-19,0
Hoaks: Vaksin COVID-19 Buatan Sinovac hanya untuk Uji Klinik dan Mengandung Sel Vero dan Bahan Berbahaya,1
Pemda Harus Optimalkan Peran Posko Agar Kualitas Penanganan Semakin Meningkat,0
Minum Air Kelapa Sebagai Penangkal Racun Usai Divaksin,1
Kumham Hapus Sanksi Pidana setelah Anak Buah Megawati Tolak Vaksin,1
"Vaksin AstraZeneca Aman, Penghentian Sementara Hanya Pada Batch CTMAV547",0
Data Vaksinasi COVID-19 (Update per 19 Maret 2021),0
"Pasien Sembuh Terus Meningkat Mencapai 1,6 Juta Orang",0
PBNU: Penyelenggaraan Salat Idul Adha Wajib Menerapkan Protokol Kesehatan,0
Pasien Sembuh Terus Meningkat Menjadi 1.069.005,0
"Awas Hoaks - ""Obat dan Bahan Herbal Mencegah COVID""",1
Presiden Ingin Strategi Penanganan Pandemi dalam Lingkup Lokal Diterapkan,0
"Memperingati Hari Kemanusiaan Dunia di Masa Pandemi, Nelwan: Inilah Momentum Kita",0
Data Vaksinasi COVID-19 (Update per 20 April 2021),0
Anies Borong Celana Dalam Cewek,1
Satgas Covid-19: Pemerintah Kawal Akselerasi Vaksin Merah Putih,0
Satgas Covid-19 Kabarkan Perkembangan Penanganan Pandemi Kepada Masyarakat Dunia,0
Puskesmas Ikut Sediakan Layanan Periksa COVID-19,0
Pasien Sembuh Dari Covid-19 Bertambah Menjadi 576.693 Orang,0
Kesembuhan Pesat Pasien COVID-19 Terjadi di Sumatera Barat,0
Anies Baswedan Terpapar COVID-19 dan Dilarikan ke RS Royal Sunter,1
Video Pemakaman Syeikh Ali Jaber,1
Kadishub DKI Jakarta: Sudah 6.364 Kendaraan Diputar-balikkan Karena Tak Kantongi SIKM,0
Mendeteksi Virus Corona dengan Menahan Napas 10 Detik,1
Hoaks: WHO menyatakan bahwa vaksin Sinovac adalah vaksin yang paling lemah,1
"Ayo, Kaum Milenial Punya Peran Cegah dan Lakukan Kesiapsiagaan COVID – 19",0
21% Pasien Mengalami Efek Samping Setelah Memakai Vaksin Moderna,1
Flat Isolasi Mandiri Terisi 2.122 OTG dan RS Darurat COVID-19 2.407 Pasien,0
"Pilihan ""Kartini"" Menjadikan Prof. Sri Rezeki Seorang Dokter",0
Presiden Jokowi Dorong PBB Perkuat Kerja Sama dalam Penanganan COVID-19,0
Menteri PPPA: Terapkan Protokol Kesehatan di Lingkungan Keluarga,0
Pasien Sembuh Semakin Meningkat Mencapai 1.348.330 Orang,0
Vaksinasi di PPSDMK Cukup Bawa KTP Sebagai Syarat,1
Data Vaksinasi COVID-19 (Update per 10 Maret 2021),0
"Sudah Mau Dimulai Lockdown per Wilayah, Lockdown di Bali Tanggal 25 Maret 2020",1
"Keamanan, mutu dan efektivitas vaksin COVID-19",0
Mudik Saat Pandemi COVID-19 Dapat Menambah Beban Moral Orang Tua di Rumah,0
Suka Duka Relawan Perempuan Satu-Satunya yang Jadi Supir Ambulans,0
Data Vaksinasi COVID-19 (Update per 6 Maret 2021),0
Flat Isolasi Mandiri Tower 4 Mulai Dibuka Hari Senin Ini,0
Syarat Ketat BPOM untuk Persetujuan Penggunaan Darurat Vaksin COVID-19,0
Awas HOAKS! - Harga Vaksin di Indonesia 1000% Lebih Mahal daripada di Brazil,0
Bertambahnya Posko Berdampak Menurunkan Kasus Aktif Dan Memperbaiki Zonasi Risiko,0
"Positif Corona, Kondisi Donald Trump Kritis dalam 24 Jam Terakhir. Kok sama kayak di film The Simpson",1
Infografis COVID-19 (6 April 2020),0
Data Vaksinasi COVID-19 (Update per 4 April 2021),0
Jokowi Takut Datang ke Sidang PBB karena Pasukan Sniper Sudah Menunggu,1
Pengawasan Ketat Indonesia pada Pembuat Vaksin di Tiongkok,0
"PEMERINTAH PUTUSKAN MELARANG MUDIK, KEMENHUB SIAPKAN PERMENHUB",0
Lansia dan Komorbid Terinfeksi COVID-19 dengan Gejala Khas,0
Upaya-Upaya Pemerintah Penuhi Kebutuhan Pokok Masyarakat di Tengah Pandemi COVID-19,0
"Kasus Positif COVID-19 Meningkat Tajam Menjadi 3.842, Sembuh 286",0
Penanganan Tingkatan Terkecil Efektif Mencegah Penularan,0
Pemerintah Persilakan Daerah Ajukan PSBB,0
"Pesan Berantai ada 13 org penjual daging yg positif covid19, sekarang ini di pasar cileungsi lg dilakukan test swab massal",1
Jaga dan Sayangi Orang Tua dengan Vaksinasi,0
Data Vaksinasi COVID-19 (Update per 7 Februari 2021),0
"Imigran China Sengaja Membawa Virus, Tujuannya Membasmi Rakyat +62",1
Kesembuhan COVID-19 Terus Meningkat Mencapai 1.419.796 Orang,0
Relawan: Vaksin dan 3M Percepat Pemulihan Kehidupan,0
Infografis COVID-19 (11 Oktober 2020),0
Tidak Ada Pasien Positif Corona di Aceh,1
"Kasus Terkonfirmasi Positif COVID-19 Bertambah 489, Pasien Sembuh Jadi 4.129 Orang",0
Satgas: Adanya Varian Baru Jangan Disikapi Dengan Panik,0
Data Vaksinasi COVID-19 (Update per 14 Mei 2021),0
dr Reisa: Pasien COVID-19 Dengan Gejala Berat Bisa Sembuh,0
Dirjen Bimas Buddha Kemenag RI Imbau Perayaan Waisak Dilaksanakan dari Rumah,0
Satgas Himbau Perayaan dan Kegiatan Ibadah Waisak Tetap Menerapkan Protokol Kesehatan,0
Badan POM Pastikan Keamanan dan Efektivitas Vaksin,0
RS Lapangan Jatim Rawat 16 Pasien COVID,0
"Satgas: Belajar Dari Kudus, Peta Zonasi Risiko Jangan Dianggap Enteng dan Diabaikan",0
"Vaksinasi COVID-19, Prioritaskan Keselamatan Masyarakat",0
Hati2 Alat Ini Sdh Di Setting Suhu 36-37°C Olh Komunis Cina Utk Mmbunuh Para Ulama2 Kita,1
Angka Testing Nasional Menunjukkan Laju Penularan Menurun,0
"Reaksi Pascavaksinasi COVID-19: Kebanyakan Hanya Pegal, Lapar, dan Ngantuk",0
"Fabiana Souza, penerima perdana suntikan vaksin covid 19 meninggal dunia di RS.Sao Lucas Porto Alegre Brazil Selatan",1
Dana Bantuan Pemerintah Rp100 Ribu untuk Pelanggan Setia Telekomunikasi Selular Indonesia,1
Musim Hujan Waspadai Lahirnya Klaster Pengungsian,0
"Bertemu IDI Jawa Timur, Doni Tak Ingin Ada Lagi Nakes Gugur Akibat COVID-19",0
Awak Media Mulai Menerima Vaksin COVID-19,0
Konsorsium Riset dan Inovasi COVID-19 Kemenristek/BRIN Fokus Berkolaborasi Bangun Kemandirian Vaksin Nasional,0
Pemerintah Pastikan Kesiapan Logistik Vaksin Covid-19,0
Satgas Himbau Daerah Optimalkan Penanganan Secara Komprehensif dan Kolaboratif Guna Tekan Zona Merah,0
Presiden Jokowi Beri Empat Arahan Guna Antisipasi Mudik di Tengah Krisis COVID-19,0
KJP Dicabut dan Kurungan 3 Bulan bagi Anak-Anak yang Keluar Rumah Selama PSBB,1
Pasien Sembuh COVID-19 Naik Signifikan Menjadi 548 Orang,0
KPPPA: Hasil Survei AADC-19 Sebagian Besar Anak Waspada COVID-19,0
Akun Facebook Gubernur Sumatera Barat Irwan Prayitno,1
Peluncuran Healthline Upaya Melindungi Nakes Dari COVID-19,0
Arahan Presiden kepada Gubernur Soal Penanganan Covid-19,0
"Kesembuhan Harian COVID-19 Sangat Signifikan, Tembus 3.560",0
Erick Thohir: Perlindungan Bagi Tenaga Kesehatan Itu Mutlak,0
Ini Beda Spesifikasi Masker Bedah dan N95 Menurut Kemenkes RI,0
Dokter Reisa: Penggunaan Rapid Test Tidak Digunakan Untuk Kepentingan Diagnostik,0
Presiden: Kelola Krisis dengan Hati-hati,0
Kemenkes: Penggunaan APD Coverall Disesuaikan Risiko Penularan,0
Kemenhub Terbitkan Aturan Pengendalian Transportasi Menuju Masyarakat Aman COVID-19 dan Produktif,0
Presiden Minta Daerah Tak Paksakan Adaptasi Kebiasaan Baru tanpa Perhatikan Data Sains,0
Infografis COVID-19 (29 April 2020),0
"Reaksi Pascavaksinasi: Kebanyakan Hanya Pegal, Lapar, dan Ngantuk",0
Kemenkes: Isolasi Diri Menjaga Jarak Fisik,0
Satgas Covid-19 Monitoring Strain Virus Baru,0
Pemerintah Bantu Peningkatan Asupan Gizi Tenaga Kesehatan dan Non-Tenaga Kesehatan yang Bukan ASN di 34 Provinsi,0
Infografis COVID-19 (16 Juli 2020),0
Prosedur Layanan Pemberian Vaksin dan Tahapan Pra-Vaksinasi,0
Data Vaksinasi COVID-19 (Update per 3 Juni 2021),0
Kelompok Masyarakat yang Tidak Bisa Diberikan Vaksin COVID-19 dari Sinovac,0
Perbedaan 3 Kemasan Vaksin COVID-19,0
Video Seseorang yang wafat karena terinfeksi virus Covid-19 mempercayakan teman baiknya untuk membuang uangnya di Times Square di New York,1
SITUBONDO LOCKDOWN,1
Analisis Data COVID-19 Indonesia (Update Per 26 Juli 2020),0
Bantuan Pulsa 200 Ribu dan Kuota 75 Gb dari Kominfo,1
Inisiatif Isolasi Mandiri Sebagai Upaya Cegah Penyebaran COVID-19,0
Pesan Berantai Rekrutmen Relawan Untuk Merawat Pasien Covid 19 di Wisma Atlet Oleh Dokter Irna,1
Pak Jokowi yang Nyuruh Orang Tidak Sholat Jum’at,1
Kemenristek BRIN Bentuk Konsorsium Riset Teknologi Penanganan COVID-19,0
BNPB Dorong Komitmen Penanganan COVID-19 Melalui Kolaborasi Pentaheliks,0
"Stok Pangan Aman, Pemerintah Siapkan Stimulus Bagi Petani Pascapanen Raya",0
Bangga Alat Kesehatan Buatan Indonesia,0
Pasien Sembuh Terus Meningkat Mencapai 1.563.917 Orang,0
"Kelompok Lansia, Komorbid, Penyintas COVID-19 dan Ibu Menyusui Bisa Divaksinasi Ini Syaratnya...",0
Penanganan Covid-19 Daerah  Zona Merah Harus Diperbaiki,0
Penggunaan Dexamethasone dan Hydroxychloroquine pada Pasien COVID-19,0
Kerja Diplomasi Indonesia Kawal Vaksin COVID-19,0
Sistem Informasi Satu Data Vaksinasi COVID-19 Hindari Informasi Ganda,0
"Kapan Waktu Terbaik Menerima Vaksin COVID-19 Dosis Kedua? Beda Vaksin, Beda Jarak Waktunya",0
Foto Gubernur Anies Memegang Piagam Bertuliskan PENGHARGAAN Provinsi Jumlah Covid 19 Tertinggi,1
Donasi Kaos Oblong Bekas Untuk Tim Medis RSD Wisma Atlet,1
Pasien Sembuh Terus Meningkat Mencapai 1.547.092 Orang,0
Satgas Optimistis Perluasan PPKM Mikro Akan Membawa Dampak Positif,0
Infografis COVID-19 (9 April 2020),0
Infografis COVID-19 (17 Juni 2020),0
Merokok Meningkatkan Potensi Terjangkit COVID-19,0
PBB Tak Beri Bantuan Covid-19 Bagi Negara Yang Tidak Legalkan Aborsi,1
"Penambahan Kasus Positif COVID-19 Masih Terjadi, DKI Jakarta Tertinggi",0
"Bahas Persiapan Ramadan, Presiden: Distribusi Logistik Jangan Sampai Terganggu",0
Meningkatnya Jumlah Zona Kuning Harus Segera Diantisipasi Pemda,0
Pasien Sembuh Terus Meningkat Mencapai 1.680.501 Orang,0
Pasien Sembuh Terus Meningkat Mencapai 1.574.615 Orang,0
Pasien Sembuh Harian Bertambah Lebih Banyak Dari Pasien Terkonfirmasi Positif,0
Vaksinasi COVID-19 bagi Lansia Bisa di Mana Saja,0
Italia Meminta Dibacakan Al-Qur’an Dan Doa Untuk Melawan Wabah Corona,1
"Pasien Sembuh Terus Tumbuh Menjadi 686, Kasus Positif COVID-19 Masih Masif",0
Pemerintah Daerah Berperan Menguatkan PPKM Mikro Tahap 2,0
Alur Registrasi dan Verifikasi Sasaran Penerima Vaksinasi COVID-19,0
"Iman, Aman dan Imun Solusi Komprehensif Terhindar Covid-19",0
Aturan Physical Distancing Terkendala Disiplin Warga,0
"Kabar dari Kandidat Vaksin COVID-19, Vaksin Merah Putih Karya Anak Bangsa",0
Kasus Baru Positif COVID-19 Hasil Tracing Secara Masif,0
Memakan Bawang Merah dan Meneteskan Air Perasan Lemon ke Hidung Dapat Mengobati Covid-19,1
"Perangi COVID-19, Aplikasi BLC Jadi Gerakan Transparansi Data Percepat Penanganan",0
Pasien Sembuh Meningkat Lagi Mencapai 1.249.947 Orang,0
"Tinjau Kantor Gugus Tugas COVID-19, Presiden Ingatkan Tugas Besar Belum Berakhir",0
Data Vaksinasi COVID-19 (Update per 31 Maret 2021),0
Kemenkes: Batasan Biaya Tertinggi Rapid Test Berlaku untuk Pasien Mandiri,0
"Pasien Sembuh COVID-19 Bertambah 252 Orang, Delapan Wilayah Tak Laporkan Penambahan Kasus Positif",0
Foto Hasil CT Scan Paru-Paru Orang Yang Telah Divaksin dan Belum Divaksin,1
"[Update] - Sebanyak 609 Kasus Positif Baru, Total Penderita COVID-19 Capai 27.549",0
"Kasus Positif COVID-19 Menurun, Jumlah Pasien Sembuh Terus Melesat Jadi 747 Orang",0
Klarifikasi tentang Pemberitaan Sinovac,0
Perayaan Natal Disyaratkan Terapkan Protokol Kesehatan Ketat,0
Yakinkan Anak COVID-19 Pasti Berlalu,0
WHO menyatakan bahwa vaksin Sinovac adalah vaksin yang paling lemah,1
Corona Virus adalah BOHONG. bukan dari Virus tapi dari Bakteri. semua ini diketahui oleh negara Itali,1
Desain Helm Covid-19 Pada Kompetisi NFL,1
Data Vaksinasi COVID-19 (Update per 19 April 2021),0
"Kasus Sembuh COVID-19 Menjadi 222, Positif 2.956",0
Tingkat Kesembuhan COVID Indonesia di Atas Rata-Rata Dunia,0
Rumah DP 0% DKI Jakarta dengan Foto Peti Mati,1
Pesan Berantai Paradox vaksin,1
Regulasi PT KAI Bagi Calon Penumpang Kereta Api,0
Hoaks: Cairan Vaksin COVID-19 Tidak Masuk ke Tubuh Presiden Joko Widodo,1
Pemerintah Evaluasi Pelaksanaan PSBB secara Menyeluruh,0
Tips Hindari COVID-19 di Pondok Pesantren,0
Kesiagaan Daerah Penting Mengendalikan Dampak Pandemi Paska Idul Fitri,0
Angka Kesembuhan Kumulatif Terus Bertambah Menjadi 631.937 Orang,0
Peran Aktif Para Dokter dan Peneliti di Media Sosial Bantu Cegah Penyebaran Hoaks COVID-19,0
Presiden Jokowi: Evaluasi dan Perbaiki Pelaksanaan PSBB,0
5 Rekomendasi Hindari Tekanan Darah Tinggi Sebelum Vaksinasi COVID-19,0
Data Vaksinasi COVID-19 (Update per 31 Januari 2021),0
Satgas Covid-19: Jaga Kondusifitas Sampai Pilkada Selesai,0
COVID-19 Dapat Dicegah Dengan Disiplin dan Gotong Royong,0
wabah flu Spanyol penyebabnya bukan virus melainkan gejala pneumonia oleh bakteri akibat oleh karena adanya wajib masker,1
"Cegah Covid-19, Wapres Minta Semua Masyarakat Taati Imbauan Pemerintah",0
Pemerintah Daerah Diminta Tegas Menegakkan Aturan Terkait Mudik Lebaran,0
"Adidas menawarkan 3100 Sepatu Gratis, T-shirt dan Masker",1
Pencapaian Tinggi Kesembuhan Harian Pasien COVID-19 Sebanyak 5.810 Orang,0
Analisis Data COVID-19 Indonesia (Update Per 25 Oktober 2020),0
Pemerintah Tetapkan Batas Tertinggi Biaya Pemeriksaan Swab Mandiri Rp. 900.000,0
Infografis COVID-19 (10 Oktober 2020),0
Alfamart Menyumbangkan 6000 Kupon untuk Membantu Melawan COVID-19,1
Pasien Sembuh Bertambah Menjadi 521.984 Orang,0
Analisis Data COVID-19 Indonesia (Update Per 19 Juli 2020),0
Ketua DPRD Mimika Meninggal Akibat Vaksin,1
Presiden Ajak Masyarakat untuk Panjatkan Doa dan Tetap Optimistis Hadapi Pandemi,0
"Selama Covid19 Ada, Tidak ada Orang Gila Yang Kena Covid19",1
"Minggu Pertama Kuartal IV/2020, Realisasi Program PEN Bertambah Rp13,5 Triliun",0
"Perayaan Ulang Tahun, Nike Bagi-bagi Hadiah Sepatu, T-Shirt, dan Masker",1
"Masyarakat Harus Waspada, Ada 1402 Hoaks Terkait COVID-19",0
17 Negara Melarang Penyebaran Vaksin AstraZeneca,1
"Pandemi Masih Mengancam, Jangan Mudik Dulu",0
Peningkatan Jumlah Zona Merah dan Oranye Menandakan Perlunya Perbaikan Penanganan,0
Surat Perintah Karantina Selama Dua Minggu bagi Warga Amerika Serikat,1
Izin Penggunaan Darurat EUL dan EUA Dikeluarkan Atas Pertimbangan Yang Sama,0
Perusakan Alat Musik Ketipung oleh Petugas Polri saat Pembubaran Pertunjukan Musik di Klaten,1
Analisis Data COVID-19 Indonesia (Update Per 31 Januari 2021),0
Pasien Sembuh Terus Meningkat Mencapai 1.558.423 Orang,0
"Pergi Ke Salon Saat Pandemi COVID-19, Ini Saran Dokter Reisa",0
"1,8 Juta Vaksin COVID-19 Tahap Kedua Tiba di Indonesia",0
Pemerintah Optimis Perbaikan Ekonomi Pada 2021,0
Analisis Data COVID-19 Indonesia (Update Per 28 Maret 2021),0
4 Skema Pelayanan Vaksinasi COVID-19 Tahap Kedua,0
Vaksin Bagi Persiapan Menikah dan Perjalanan,0
Vaksinasi Tahap Kedua Bagi Petugas Pelayanan Publik Siap Dilaksanakan,0
"Lebih Dari 1 Miliar Dosis Vaksin COVID-19 AstraZeneca Telah Diterima Masyarakat Dunia, WHO: Vaksin Ini Aman",0
Infografis COVID-19 (24 Juni 2020),0
Upaya Gotong Royong dari Pemerintah Agar Indonesia Keluar Dari Pandemi,0
"Program Bangga Buatan Indonesia, Bantu UMKM Hadapi Pandemi",0
"Pemeriksaan Kedatangan Internasional Diperketat, Cegah Varian Baru Sars Cov-2",0
Data menunjukkan ACEH hanya 1 korban,1
"Pemerintah Maksimalkan Penanganan COVID-19, Masyarakat Dihimbau Tetap Tenang",0
Jawa Barat Mencatatkan Pasien Sembuh Harian Tertinggi,0
Awas Hoaks - Vaksin COVID-19 Mengandung Magnet,1
Infografis COVID-19 (6 Juni 2020),0
"Tangani Pandemi, Presiden: Fokus Nomor Satu Kita Tetap Kesehatan",0
8 Juta Vaksin Bulk Sinovac Kembali Mendarat di Indonesia,0
Pencapaian Positif Penanganan Covid-19 Hasil Kerja Bersama Pemerintah,0
"Adaro Serahkan Bantuan Senilai Rp 2,75 Miliar untuk Operasional Ambulans Satgas COVID-19",0
Infografis COVID-19 (26 Agustus 2020),0
Pasien Sembuh Menembus Angka 251.481 Kasus,0
Gugas COVID-19: Kaum muda kebanyakan tidak sadar terinfeksi COVID-19,0
Korlap FPI Sebut Imam Besar Kami Punya Penangkal Virus Corona,1
Data Vaksinasi COVID-19 (Update per 14 April 2021),0
Vaksinasi: Siap Divaksin Saat Vaksin Siap,0
Temuan Klaster Baru Harus Diikuti Penyelidikan Epidemiologi di Setiap Daerah,0
Fatwa Majelis Ulama Indonesia Nomor : 02 Tahun 2021,0
Tetap Cek ke Dokter Saat Pandemi Bila Alami Masalah Kesehatan,0
Sebagian Besar Kabupaten/Kota Memiliki Kasus Aktif Dibawah 100,0
"Tiga Sebelum Tiga, Tips Siap Divaksin dari dr. Reisa",0
Video Ibu ini cuma dapat bantuan beras 1 liter dan mie instan 2 bungkus untuk 4 bulan,1
"Mudik Tetap Dilarang, Kemenhub Dukung dan Tindaklanjuti SE Gugus Tugas",0
"Kasus Positif COVID-19 Bertambah 1.671, Meninggal 66 dan Sembuh 1.190 Orang",0
Awas Hoaks - “Vaksin Sinovac Kadaluwarsa 25 Maret 2021 dan Dibuat Sebelum Pandemi”,1
"Jamin Pasokan, Pemerintah Kembali Kedatangan Vaksin",0
HOAKS ➡️ Vaksin COVID-19 Dapat Mengubah DNA Manusia ⬅️,0
"Kasus Positif COVID-19 Bertambah 686, Sembuh 180 dan Meninggal 55 Orang",0
Buku Saku #InfoVaksin,0
Jubir COVID-19: Jangan Kembali ke Jakarta Dulu,0
Pemerintah Siapkan Sistem Informasi dan Satu Data Pelaksanaan Vaksinasi COVID-19,0
Analisis Data COVID-19 Indonesia (Update Per 7 Februari 2021),0
Pasien Sembuh Nasional Sudah Mencapai Angka 325.793 Orang,0
Kesembuhan COVID-19 Bertambah Mencapai 1.104.990 Orang,0
Kemenristek / BRIN Terus Monitor Pengembangan Vaksin Merah Putih,0
Presiden: Pandemi Momen untuk Memperbaiki,0
Rusia Menemukan bahwa Covid-19 Tidak Disebabkan oleh Virus,1
